 TITLE="2D Triangle Contours"
 VARIABLES= "X", "Y", "V1" 
 ZONE N=       765   E=      1423   F=FEPOINT,  ET=TRIANGLE
  -0.35000000E+01  0.00000000E+00 -0.35000000E+01
  -0.33999999E+01  0.00000000E+00 -0.33999999E+01
  -0.33000000E+01  0.00000000E+00 -0.33000000E+01
  -0.32000000E+01  0.00000000E+00 -0.32000000E+01
  -0.30999999E+01  0.00000000E+00 -0.30999999E+01
  -0.30000000E+01  0.00000000E+00 -0.30000000E+01
  -0.28999999E+01  0.00000000E+00 -0.28999999E+01
  -0.28000000E+01  0.00000000E+00 -0.28000000E+01
  -0.26999998E+01  0.00000000E+00 -0.26999998E+01
  -0.25999999E+01  0.00000000E+00 -0.25999999E+01
  -0.25000000E+01  0.00000000E+00 -0.25000000E+01
  -0.23999999E+01  0.00000000E+00 -0.23999999E+01
  -0.22999997E+01  0.00000000E+00 -0.22999997E+01
  -0.21999998E+01  0.00000000E+00 -0.21999998E+01
  -0.20999997E+01  0.00000000E+00 -0.20999997E+01
  -0.19999996E+01  0.00000000E+00 -0.19999996E+01
  -0.18999996E+01  0.00000000E+00 -0.18999996E+01
  -0.17999996E+01  0.00000000E+00 -0.17999996E+01
  -0.16999996E+01  0.00000000E+00 -0.16999996E+01
  -0.15999995E+01  0.00000000E+00 -0.15999995E+01
  -0.14999995E+01  0.00000000E+00 -0.14999995E+01
  -0.13999995E+01  0.00000000E+00 -0.13999995E+01
  -0.12999995E+01  0.00000000E+00 -0.12999995E+01
  -0.11999995E+01  0.00000000E+00 -0.11999995E+01
  -0.10999994E+01  0.00000000E+00 -0.10999994E+01
  -0.10000000E+01  0.00000000E+00 -0.10000000E+01
  -0.99452186E+00  0.10452846E+00 -0.99452186E+00
  -0.97814757E+00  0.20791170E+00 -0.97814757E+00
  -0.95105648E+00  0.30901700E+00 -0.95105648E+00
  -0.91354543E+00  0.40673664E+00 -0.91354543E+00
  -0.86602539E+00  0.50000000E+00 -0.86602539E+00
  -0.80901694E+00  0.58778524E+00 -0.80901694E+00
  -0.74314481E+00  0.66913062E+00 -0.74314481E+00
  -0.66913056E+00  0.74314481E+00 -0.66913056E+00
  -0.58778524E+00  0.80901700E+00 -0.58778524E+00
  -0.49999997E+00  0.86602539E+00 -0.49999997E+00
  -0.40673664E+00  0.91354543E+00 -0.40673664E+00
  -0.30901697E+00  0.95105648E+00 -0.30901697E+00
  -0.20791166E+00  0.97814757E+00 -0.20791166E+00
  -0.10452842E+00  0.99452186E+00 -0.10452842E+00
   0.00000000E+00  0.10000000E+01  0.00000000E+00
   0.00000000E+00  0.11000000E+01  0.00000000E+00
   0.00000000E+00  0.12000000E+01  0.00000000E+00
   0.00000000E+00  0.13000001E+01  0.00000000E+00
   0.00000000E+00  0.14000001E+01  0.00000000E+00
   0.00000000E+00  0.15000001E+01  0.00000000E+00
   0.00000000E+00  0.16000001E+01  0.00000000E+00
   0.00000000E+00  0.17000000E+01  0.00000000E+00
   0.00000000E+00  0.18000002E+01  0.00000000E+00
   0.00000000E+00  0.19000002E+01  0.00000000E+00
   0.00000000E+00  0.20000000E+01  0.00000000E+00
  -0.10000001E+00  0.20000000E+01 -0.10000001E+00
  -0.20000002E+00  0.20000000E+01 -0.20000002E+00
  -0.30000001E+00  0.20000000E+01 -0.30000001E+00
  -0.40000001E+00  0.20000000E+01 -0.40000001E+00
  -0.50000000E+00  0.20000000E+01 -0.50000000E+00
  -0.60000002E+00  0.20000000E+01 -0.60000002E+00
  -0.69999999E+00  0.20000000E+01 -0.69999999E+00
  -0.80000001E+00  0.20000000E+01 -0.80000001E+00
  -0.90000004E+00  0.20000000E+01 -0.90000004E+00
  -0.10000000E+01  0.20000000E+01 -0.10000000E+01
  -0.11000000E+01  0.20000000E+01 -0.11000000E+01
  -0.12000000E+01  0.20000000E+01 -0.12000000E+01
  -0.13000001E+01  0.20000000E+01 -0.13000001E+01
  -0.14000000E+01  0.20000000E+01 -0.14000000E+01
  -0.15000000E+01  0.20000000E+01 -0.15000000E+01
  -0.15999999E+01  0.20000000E+01 -0.15999999E+01
  -0.16999999E+01  0.20000000E+01 -0.16999999E+01
  -0.17999998E+01  0.20000000E+01 -0.17999998E+01
  -0.18999999E+01  0.20000000E+01 -0.18999999E+01
  -0.19999999E+01  0.20000000E+01 -0.19999999E+01
  -0.20999999E+01  0.20000000E+01 -0.20999999E+01
  -0.21999998E+01  0.20000000E+01 -0.21999998E+01
  -0.22999997E+01  0.20000000E+01 -0.22999997E+01
  -0.23999996E+01  0.20000000E+01 -0.23999996E+01
  -0.24999998E+01  0.20000000E+01 -0.24999998E+01
  -0.25999997E+01  0.20000000E+01 -0.25999997E+01
  -0.26999998E+01  0.20000000E+01 -0.26999998E+01
  -0.27999997E+01  0.20000000E+01 -0.27999997E+01
  -0.28999996E+01  0.20000000E+01 -0.28999996E+01
  -0.29999998E+01  0.20000000E+01 -0.29999998E+01
  -0.30999999E+01  0.20000000E+01 -0.30999999E+01
  -0.31999998E+01  0.20000000E+01 -0.31999998E+01
  -0.33000000E+01  0.20000000E+01 -0.33000000E+01
  -0.33999999E+01  0.20000000E+01 -0.33999999E+01
  -0.35000000E+01  0.20000000E+01 -0.35000000E+01
  -0.35000000E+01  0.19000000E+01 -0.35000000E+01
  -0.35000000E+01  0.18000001E+01 -0.35000000E+01
  -0.34999998E+01  0.17000000E+01 -0.34999998E+01
